inf_id,inf_name,platform,follower_count,avg_engagement_rate,main_category,estimated_cost_per_post,genai_brand_fit_score,genai_brand_fit_reason
jim_1,김미경,YouTube,63139,0.0288,뷰티,8660000,3.9,영한 이미지.
sunoggim_2,김수빈,Instagram,882161,0.1391,여행,8320000,1.6,클린한 이미지.
uhan_3,박수빈,YouTube,9069,0.0751,푸드,9790000,3.4,클린한 이미지.
ji_4,양현정,Instagram,795861,0.0514,라이프스타일,8060000,3.5,고급진 이미지.
yeongja49_5,신은경,Instagram,294285,0.1117,뷰티,4070000,3.6,영한 이미지.
minsu38_6,권도현,TikTok,1447069,0.0107,여행,2940000,3.0,영한 이미지.
mijeong56_7,최정웅,TikTok,1262127,0.0512,여행,6360000,4.1,클린한 이미지.
jiyeon42_8,김정식,YouTube,1449200,0.0524,패션,1370000,4.9,클린한 이미지.
seongsu36_9,류영숙,TikTok,770993,0.0976,라이프스타일,340000,3.8,클린한 이미지.
hayunan_10,한민수,YouTube,501146,0.141,뷰티,4160000,2.5,고급진 이미지.
vgim_11,장옥순,YouTube,241332,0.0139,라이프스타일,7640000,3.6,고급진 이미지.
hongmijeong_12,박서현,TikTok,1412245,0.1365,패션,4180000,4.8,전문적인 이미지.
cnam_13,김영호,TikTok,617792,0.1124,패션,780000,4.6,전문적인 이미지.
jgim_14,이서현,Instagram,861965,0.1101,라이프스타일,1130000,3.6,고급진 이미지.
gwaghyeonji_15,이준혁,YouTube,26066,0.0834,라이프스타일,80000,4.8,전문적인 이미지.
idoyun_16,박지훈,Instagram,878638,0.0955,라이프스타일,9430000,3.6,전문적인 이미지.
miyeongi_17,전아름,YouTube,1465602,0.1297,라이프스타일,1930000,2.5,전문적인 이미지.
eunseo04_18,심정자,Instagram,447977,0.0072,뷰티,7050000,4.6,전문적인 이미지.
geonu94_19,류정웅,Instagram,926490,0.071,패션,1300000,1.2,전문적인 이미지.
ggim_20,최예진,Instagram,223470,0.1102,라이프스타일,6630000,2.9,고급진 이미지.
baehyeonju_21,안예은,YouTube,1279713,0.0891,뷰티,9410000,4.7,영한 이미지.
bagseoyun_22,김채원,TikTok,1147209,0.1223,푸드,9890000,4.5,클린한 이미지.
nadohyeon_23,이성민,TikTok,1487859,0.057,패션,190000,1.6,고급진 이미지.
jihyeongim_24,이지혜,YouTube,850191,0.0815,패션,6620000,1.8,고급진 이미지.
sunog58_25,이서준,Instagram,205498,0.1392,푸드,3490000,1.5,클린한 이미지.
yeongho97_26,구현우,TikTok,1056783,0.0491,라이프스타일,2680000,4.7,고급진 이미지.
byeongceol57_27,이영순,Instagram,1196675,0.0337,뷰티,3490000,3.4,전문적인 이미지.
yeongsigi_28,민하은,YouTube,903538,0.0425,여행,4250000,2.8,클린한 이미지.
sanghonam_29,박수빈,YouTube,720095,0.0351,뷰티,5770000,3.5,영한 이미지.
bmun_30,김예준,TikTok,185562,0.0175,여행,4690000,4.7,고급진 이미지.
bagseonghun_31,최지훈,TikTok,803785,0.0754,뷰티,2520000,1.1,전문적인 이미지.
gimjeongsu_32,남서연,YouTube,223234,0.0091,라이프스타일,6780000,4.2,고급진 이미지.
sgim_33,진정자,Instagram,419427,0.1059,푸드,4730000,1.2,영한 이미지.
bagminjun_34,김지후,YouTube,264888,0.1056,푸드,9500000,2.8,영한 이미지.
yeongilheo_35,김영진,Instagram,245149,0.1181,푸드,7490000,2.3,영한 이미지.
sjeon_36,장진우,YouTube,1290136,0.1327,패션,1890000,1.6,고급진 이미지.
jinhyejin_37,이은서,YouTube,522034,0.0102,패션,4840000,4.9,클린한 이미지.
seungmin92_38,김승민,YouTube,1184121,0.083,푸드,1230000,4.8,영한 이미지.
hbag_39,강승현,TikTok,882681,0.0978,여행,4720000,3.6,영한 이미지.
fbag_40,최현주,YouTube,601117,0.0267,라이프스타일,120000,1.8,고급진 이미지.
borami_41,김지훈,TikTok,105001,0.0395,여행,1300000,2.0,전문적인 이미지.
gimjeongnam_42,김정숙,TikTok,771461,0.0353,뷰티,1430000,1.7,클린한 이미지.
minjaecoe_43,최정호,Instagram,124361,0.1042,뷰티,4580000,4.1,전문적인 이미지.
yeongjini_44,김영숙,Instagram,970552,0.0599,푸드,5020000,3.7,클린한 이미지.
gweonhyeonji_45,한준서,YouTube,1332671,0.0407,패션,2250000,2.6,전문적인 이미지.
caeweon89_46,이준서,Instagram,1158772,0.0675,푸드,8540000,4.8,클린한 이미지.
jinu58_47,이정숙,Instagram,237176,0.0917,패션,3490000,3.6,영한 이미지.
jiagim_48,김영호,Instagram,1023278,0.0701,패션,9140000,1.4,클린한 이미지.
kbag_49,김상철,YouTube,680500,0.1189,푸드,7230000,1.0,클린한 이미지.
sonjiyeong_50,서지민,Instagram,1057071,0.1012,패션,7350000,2.9,전문적인 이미지.
jihungim_51,김지현,YouTube,519549,0.12,뷰티,9970000,4.3,고급진 이미지.
nammiyeong_52,이유진,Instagram,1098132,0.1207,패션,2330000,3.5,클린한 이미지.
sujingim_53,이선영,YouTube,1311099,0.0807,여행,2350000,2.6,클린한 이미지.
gwangsuhong_54,김하윤,TikTok,1331943,0.0706,라이프스타일,3980000,2.1,고급진 이미지.
ogsunryu_55,강은주,YouTube,707623,0.095,푸드,1260000,1.5,클린한 이미지.
kjeon_56,김현주,Instagram,187336,0.1105,패션,5070000,4.5,영한 이미지.
li_57,김성호,Instagram,1076131,0.0431,여행,7540000,4.4,전문적인 이미지.
hyeonsugo_58,이재호,TikTok,883786,0.1434,푸드,190000,4.5,클린한 이미지.
jaehyeonbag_59,한예준,TikTok,776570,0.1494,푸드,630000,2.0,클린한 이미지.
ryudoyun_60,차수진,Instagram,422204,0.1236,뷰티,1010000,1.6,클린한 이미지.
ryujeongja_61,유미숙,Instagram,1239756,0.0967,푸드,6170000,1.6,전문적인 이미지.
ii_62,박미영,Instagram,742016,0.0983,뷰티,330000,3.8,전문적인 이미지.
miyeongbag_63,김영일,Instagram,778899,0.0385,뷰티,5760000,5.0,클린한 이미지.
jiyeongim_64,최시우,TikTok,318700,0.1333,패션,5650000,5.0,클린한 이미지.
abag_65,이하윤,Instagram,639797,0.114,패션,490000,1.0,클린한 이미지.
fgim_66,이선영,YouTube,913892,0.0453,패션,4880000,3.0,고급진 이미지.
ohyeonjun_67,이민서,TikTok,544073,0.1022,라이프스타일,7980000,4.9,고급진 이미지.
gweonminji_68,박현우,Instagram,1332033,0.0072,패션,2440000,1.8,클린한 이미지.
jeongnam83_69,이순옥,TikTok,1076922,0.1135,푸드,3990000,1.1,클린한 이미지.
sumin02_70,송영식,Instagram,1230395,0.0865,뷰티,3310000,3.9,영한 이미지.
jeongeunseo_71,김성수,YouTube,1175110,0.0582,여행,6670000,3.0,고급진 이미지.
mo_72,김춘자,Instagram,1016884,0.056,뷰티,2950000,3.1,영한 이미지.
amin_73,서성진,YouTube,1444804,0.0726,라이프스타일,9410000,2.5,고급진 이미지.
eungyeongi_74,김지연,TikTok,426030,0.0627,푸드,6870000,1.9,영한 이미지.
eungyeong94_75,남서현,YouTube,1229456,0.1003,푸드,4760000,2.5,고급진 이미지.
ngim_76,박미숙,TikTok,1324410,0.1061,뷰티,5920000,3.2,클린한 이미지.
jangjihu_77,이은영,TikTok,297846,0.0187,패션,8990000,3.7,전문적인 이미지.
jaehoi_78,이지훈,Instagram,1220827,0.101,뷰티,3090000,3.0,영한 이미지.
junyeong01_79,이서준,YouTube,953995,0.0227,뷰티,5530000,2.3,고급진 이미지.
myeongjabag_80,이현우,Instagram,797515,0.0596,라이프스타일,6090000,2.0,고급진 이미지.
wi_81,조옥자,YouTube,667156,0.0821,여행,240000,2.3,클린한 이미지.
hbag_82,김하은,TikTok,972382,0.0854,뷰티,6140000,3.6,클린한 이미지.
bagseoyun_83,김은정,TikTok,685599,0.1158,라이프스타일,7210000,2.9,고급진 이미지.
yi_84,장정호,YouTube,1111204,0.0302,푸드,1620000,3.3,영한 이미지.
mijeongcoe_85,이건우,TikTok,943969,0.0585,라이프스타일,5710000,2.7,고급진 이미지.
seungmini_86,오지원,YouTube,519137,0.0286,뷰티,300000,3.1,전문적인 이미지.
seoyeoncoe_87,김중수,YouTube,1428672,0.0745,라이프스타일,2420000,1.3,고급진 이미지.
jeongnam05_88,오경희,YouTube,613621,0.1442,라이프스타일,1570000,1.2,전문적인 이미지.
yi_89,송서연,YouTube,308458,0.0309,여행,660000,4.4,고급진 이미지.
gimyeongsu_90,김상철,Instagram,240059,0.1059,여행,8360000,1.3,클린한 이미지.
jihyeongo_91,이선영,YouTube,1279560,0.0726,라이프스타일,6620000,4.9,클린한 이미지.
jaehyeoni_92,민지은,TikTok,89734,0.1271,푸드,7810000,2.5,고급진 이미지.
suminan_93,이현준,TikTok,21870,0.0611,푸드,9710000,3.1,고급진 이미지.
ksong_94,오옥자,TikTok,1167372,0.1332,패션,2250000,2.1,클린한 이미지.
sangceolgim_95,서경숙,TikTok,641818,0.1482,푸드,6520000,1.9,클린한 이미지.
jeongsu80_96,이우진,Instagram,1368774,0.1025,여행,5960000,1.9,고급진 이미지.
seongsuyang_97,지영미,TikTok,315114,0.1491,여행,7110000,4.5,영한 이미지.
minjae24_98,강지현,TikTok,452004,0.0968,패션,9860000,3.1,전문적인 이미지.
seojungwag_99,김우진,Instagram,966342,0.0593,패션,1170000,3.7,클린한 이미지.
li_100,박순자,Instagram,731253,0.0788,푸드,670000,3.6,클린한 이미지.
jeongsug56_101,김지은,YouTube,68785,0.121,뷰티,3980000,1.1,전문적인 이미지.
eunyeongyun_102,이성현,TikTok,636643,0.0252,뷰티,730000,3.4,영한 이미지.
yeongceol55_103,권미정,TikTok,489546,0.12,푸드,6890000,1.3,고급진 이미지.
yeongja48_104,김지우,Instagram,1217558,0.0655,패션,7540000,3.1,고급진 이미지.
caeweoni_105,배상현,YouTube,716361,0.0454,패션,9260000,4.3,클린한 이미지.
junhoi_106,김준서,Instagram,319051,0.0648,푸드,3310000,4.3,영한 이미지.
gyeonghyi07_107,이순옥,YouTube,518612,0.0675,푸드,7910000,3.3,영한 이미지.
zgim_108,김성민,Instagram,406398,0.0426,여행,9620000,2.7,영한 이미지.
hjo_109,이준영,YouTube,1447187,0.0597,푸드,6480000,2.6,클린한 이미지.
simogsun_110,노정호,TikTok,223901,0.1397,패션,7790000,1.7,클린한 이미지.
jaehyeonhwang_111,이은영,YouTube,1021371,0.0277,푸드,9200000,2.7,전문적인 이미지.
yeongjinbag_112,우지후,YouTube,317897,0.1103,여행,560000,4.9,클린한 이미지.
hyeonuyun_113,홍은정,Instagram,405071,0.107,푸드,6430000,1.4,클린한 이미지.
igim_114,김선영,Instagram,955442,0.087,여행,480000,2.0,클린한 이미지.
junhyeogu_115,황채원,YouTube,1353625,0.0138,여행,8030000,4.9,고급진 이미지.
juweongim_116,박예은,Instagram,1343194,0.012,푸드,4860000,3.2,영한 이미지.
sinjeongho_117,최예원,Instagram,76696,0.0481,뷰티,1490000,3.9,영한 이미지.
jaehyeon37_118,김병철,Instagram,65687,0.0696,뷰티,4980000,2.5,고급진 이미지.
hyeonjeonggim_119,배선영,TikTok,294685,0.0094,뷰티,2080000,3.4,클린한 이미지.
yeongho06_120,심예지,Instagram,920719,0.0626,패션,5990000,2.7,영한 이미지.
gimsangceol_121,배승민,Instagram,412230,0.0393,여행,7190000,2.9,클린한 이미지.
qgim_122,김윤서,YouTube,726978,0.1193,패션,9980000,2.1,영한 이미지.
byeongceol18_123,이중수,YouTube,1297399,0.1319,뷰티,4430000,4.4,고급진 이미지.
mijeongcoe_124,김영희,Instagram,1174991,0.0608,패션,7200000,3.3,클린한 이미지.
eunjuseong_125,김영수,TikTok,295448,0.0531,라이프스타일,9700000,4.2,영한 이미지.
jongsugim_126,류현정,YouTube,625558,0.0207,푸드,6560000,4.4,전문적인 이미지.
ghong_127,강종수,YouTube,70475,0.0532,패션,8310000,3.7,영한 이미지.
jimino_128,이예지,Instagram,411699,0.005,패션,3130000,2.4,전문적인 이미지.
egim_129,노은정,TikTok,161487,0.0138,여행,510000,1.3,영한 이미지.
eheo_130,박영호,TikTok,414482,0.0799,패션,2260000,2.5,영한 이미지.
gimjihyeon_131,홍정숙,YouTube,67684,0.0439,라이프스타일,3640000,3.1,영한 이미지.
dbag_132,김은정,YouTube,1202717,0.0752,라이프스타일,2050000,3.5,고급진 이미지.
yujin13_133,윤춘자,Instagram,931828,0.038,푸드,5070000,3.6,클린한 이미지.
ryuseongsu_134,임영환,YouTube,336563,0.0325,패션,3220000,1.4,영한 이미지.
pgim_135,이은주,TikTok,1065558,0.0646,라이프스타일,8860000,2.7,전문적인 이미지.
yeongho78_136,김민재,Instagram,1058083,0.1025,패션,9670000,3.3,고급진 이미지.
myeongjayun_137,김영일,Instagram,650640,0.0506,패션,8730000,3.4,전문적인 이미지.
gwangsu06_138,이명숙,Instagram,809653,0.0753,여행,9740000,1.6,클린한 이미지.
tgim_139,고병철,Instagram,581303,0.064,뷰티,2740000,3.7,고급진 이미지.
iareum_140,최미숙,TikTok,18592,0.1198,라이프스타일,2330000,1.8,영한 이미지.
zsim_141,박승현,TikTok,932267,0.0093,여행,2820000,4.4,전문적인 이미지.
iminjae_142,홍동현,Instagram,1114430,0.0375,푸드,6640000,1.6,영한 이미지.
eunjui_143,이영호,Instagram,1436998,0.1199,패션,1040000,2.4,고급진 이미지.
baghaeun_144,이현지,TikTok,408896,0.132,여행,4140000,2.4,전문적인 이미지.
eunjeongi_145,강영환,Instagram,730728,0.0464,패션,9000000,4.7,고급진 이미지.
jsong_146,서영길,YouTube,1018414,0.0587,라이프스타일,4260000,1.6,전문적인 이미지.
gimjiyeon_147,이혜진,TikTok,1157515,0.0284,라이프스타일,7220000,3.0,전문적인 이미지.
jimin73_148,김정수,YouTube,1103074,0.133,푸드,7530000,1.0,고급진 이미지.
subin41_149,차혜진,TikTok,715152,0.0255,여행,3330000,2.6,전문적인 이미지.
yeongsug59_150,김옥자,Instagram,905591,0.0823,여행,420000,1.4,고급진 이미지.
jeonghunhan_151,오정자,Instagram,789014,0.0231,패션,4730000,4.3,전문적인 이미지.
jihyebag_152,백하윤,YouTube,630082,0.0866,패션,2000000,3.3,고급진 이미지.
jeongsu17_153,박은서,Instagram,1071507,0.1378,패션,6010000,3.9,고급진 이미지.
seunghyeongim_154,김정순,Instagram,1062213,0.0063,뷰티,8820000,1.4,클린한 이미지.
munyeonghyi_155,이순자,Instagram,263953,0.0786,패션,3600000,3.3,고급진 이미지.
seungmin39_156,강수빈,TikTok,1264737,0.0838,여행,890000,2.7,고급진 이미지.
yeonggil13_157,박성민,Instagram,983248,0.0262,푸드,6990000,1.5,고급진 이미지.
jseo_158,최주원,Instagram,1395037,0.0055,패션,2750000,2.2,영한 이미지.
gimbyeongceol_159,윤정자,YouTube,280408,0.0617,라이프스타일,1920000,1.3,클린한 이미지.
eunjeonggim_160,박상철,TikTok,796612,0.0157,라이프스타일,3740000,3.0,전문적인 이미지.
seonyeonggim_161,남상현,TikTok,355420,0.0456,라이프스타일,2420000,1.8,고급진 이미지.
bbag_162,김수민,Instagram,342620,0.0694,푸드,2720000,4.8,고급진 이미지.
sangho17_163,조영식,TikTok,457311,0.0126,여행,2540000,1.6,영한 이미지.
minseog55_164,이은지,YouTube,1423555,0.0848,라이프스타일,3580000,4.4,전문적인 이미지.
jeongsiggim_165,김우진,YouTube,178562,0.0872,여행,7360000,2.5,전문적인 이미지.
yangsunog_166,이예준,Instagram,1471605,0.1228,패션,3010000,4.6,전문적인 이미지.
yunseo62_167,김승민,YouTube,1099328,0.0851,푸드,5550000,3.0,전문적인 이미지.
minjaegim_168,이미경,YouTube,446386,0.0509,푸드,3280000,4.3,클린한 이미지.
bagbyeongceol_169,성명자,YouTube,369447,0.1349,뷰티,7720000,3.9,영한 이미지.
cayeeun_170,심정자,TikTok,346506,0.0904,푸드,8160000,3.6,고급진 이미지.
jungsucoe_171,성성수,TikTok,1151448,0.0503,패션,6380000,4.0,고급진 이미지.
wgim_172,이예은,Instagram,567432,0.0193,패션,4680000,2.8,전문적인 이미지.
qnam_173,이성훈,YouTube,323926,0.0392,뷰티,7400000,3.7,고급진 이미지.
ri_174,이성진,Instagram,530276,0.0482,여행,7610000,1.2,영한 이미지.
gyeonghyibag_175,홍영숙,Instagram,1114423,0.0125,여행,5800000,1.4,전문적인 이미지.
gimsugja_176,이보람,Instagram,677960,0.1261,라이프스타일,7300000,3.5,클린한 이미지.
yeongsigi_177,김민준,Instagram,479343,0.0803,패션,3180000,3.8,클린한 이미지.
jeonghunbag_178,이은정,Instagram,234355,0.0392,여행,9600000,2.2,영한 이미지.
ai_179,박상현,TikTok,542472,0.0697,여행,5880000,2.0,클린한 이미지.
baggwangsu_180,송지혜,YouTube,1038566,0.0174,푸드,1550000,2.2,고급진 이미지.
junseo07_181,홍은경,Instagram,1422356,0.0633,패션,9770000,4.8,클린한 이미지.
pjang_182,곽옥순,Instagram,586769,0.0476,뷰티,1680000,4.8,클린한 이미지.
siucoe_183,김정자,YouTube,728344,0.0892,패션,8620000,1.5,고급진 이미지.
misug04_184,이지현,YouTube,136356,0.1055,푸드,1190000,2.6,고급진 이미지.
sumin73_185,김상훈,Instagram,12331,0.1235,패션,2920000,3.9,고급진 이미지.
boramseo_186,우정희,TikTok,944016,0.0788,라이프스타일,6270000,4.8,고급진 이미지.
jihyeonan_187,구성현,TikTok,685728,0.0283,라이프스타일,9420000,1.4,전문적인 이미지.
yeongilyang_188,문서연,TikTok,1087916,0.0449,라이프스타일,5280000,2.2,전문적인 이미지.
ujinbag_189,김민수,TikTok,1421536,0.1272,여행,8060000,1.1,영한 이미지.
hyeonju74_190,권종수,YouTube,622384,0.028,푸드,5680000,1.5,영한 이미지.
gangminjae_191,박민서,YouTube,771093,0.0933,라이프스타일,9860000,2.0,영한 이미지.
jaehobae_192,최영길,YouTube,168990,0.1209,패션,8470000,1.5,고급진 이미지.
yejingim_193,류현우,Instagram,361008,0.103,라이프스타일,8030000,2.2,영한 이미지.
sjo_194,이지민,Instagram,433776,0.1335,패션,6850000,2.3,클린한 이미지.
jeonghungim_195,장예은,Instagram,749047,0.097,라이프스타일,8140000,2.2,영한 이미지.
sunja01_196,장은주,YouTube,57619,0.1144,패션,6990000,2.1,고급진 이미지.
ogim_197,서영순,Instagram,1020992,0.0446,뷰티,1360000,2.5,클린한 이미지.
tgim_198,김서현,YouTube,331254,0.0903,푸드,8410000,4.1,전문적인 이미지.
ujini_199,이성훈,TikTok,938300,0.0906,라이프스타일,7610000,1.4,영한 이미지.
wgim_200,이현우,YouTube,895699,0.0116,여행,6680000,1.6,전문적인 이미지.
